ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-03-27,79.64181823803557,173.51296281347786,187.02072120566285,74.91294003226245,84.30376195153472,100.64951578597663,100.64951578597663,100.64951578597663,100.64951578597663,100.64951578597663,100.64951578597663,0.0,0.0,0.0,180.2913340240122
2025-03-28,77.13065439500637,173.23711722545545,188.05288078196082,71.82107521982442,82.34353711917761,103.69776084029108,103.69776084029108,103.69776084029108,103.69776084029108,103.69776084029108,103.69776084029108,0.0,0.0,0.0,180.82841523529746
2025-03-29,74.61949055197712,-187.00538383050358,-171.38063367011384,68.70366600933606,80.37402915848229,-253.4411858328721,-253.4411858328721,-253.4411858328721,-253.4411858328721,-253.4411858328721,-253.4411858328721,0.0,0.0,0.0,-178.82169528089497
2025-03-30,72.10832670894791,-189.34291943952917,-173.34126303631592,65.55611311803688,78.56763781972919,-253.4411221586897,-253.4411221586897,-253.4411221586897,-253.4411221586897,-253.4411221586897,-253.4411221586897,0.0,0.0,0.0,-181.33279544974178
2025-03-31,69.59716286591869,160.75647588793456,178.31559993986087,62.36031718537532,76.66839633747067,100.2782048496404,100.2782048496404,100.2782048496404,100.2782048496404,100.2782048496404,100.2782048496404,0.0,0.0,0.0,169.8753677155591
2025-04-01,67.08599902288947,159.33362141190932,177.8025278681333,59.2549174462148,74.78052911450816,101.48361995675062,101.48361995675062,101.48361995675062,101.48361995675062,101.48361995675062,101.48361995675062,0.0,0.0,0.0,168.5696189796401
2025-04-02,64.57483517986023,155.63398888422344,174.61328915253932,55.88793769563099,73.01030691656165,100.77320655873946,100.77320655873946,100.77320655873946,100.77320655873946,100.77320655873946,100.77320655873946,0.0,0.0,0.0,165.3480417385997
2025-04-03,62.06367133683101,152.12723964988243,172.42294286121455,52.6395415130092,71.21931088186558,100.64951578607764,100.64951578607764,100.64951578607764,100.64951578607764,100.64951578607764,100.64951578607764,0.0,0.0,0.0,162.71318712290866
2025-04-04,59.55250749380181,151.80875493323822,173.98299060882968,49.24868069174985,69.49161274988312,103.6977608402977,103.6977608402977,103.6977608402977,103.6977608402977,103.6977608402977,103.6977608402977,0.0,0.0,0.0,163.25026833409953
2025-04-05,57.04134365077258,-208.6519975060689,-185.2658430382038,45.98811352311537,67.75756253650843,-253.44118583298354,-253.44118583298354,-253.44118583298354,-253.44118583298354,-253.44118583298354,-253.44118583298354,0.0,0.0,0.0,-196.39984218221096
2025-04-06,54.53017980774335,-211.2514703898099,-187.1050739778814,42.703596472643426,66.02802757625112,-253.44112215958486,-253.44112215958486,-253.44112215958486,-253.44112215958486,-253.44112215958486,-253.44112215958486,0.0,0.0,0.0,-198.91094235184153
2025-04-07,52.01901596471413,138.745189047109,165.2371021950753,39.334982461432766,64.22921315846135,100.2782048498908,100.2782048498908,100.2782048498908,100.2782048498908,100.2782048498908,100.2782048498908,0.0,0.0,0.0,152.29722081460494
2025-04-08,49.5078521216849,136.8351423654572,165.00038323405025,35.98046058408385,62.448132552867044,101.48361995649925,101.48361995649925,101.48361995649925,101.48361995649925,101.48361995649925,101.48361995649925,0.0,0.0,0.0,150.99147207818416
2025-04-09,46.996688278655675,132.54650256673034,161.9557491781229,32.789298438719186,60.64616089637362,100.7732065587342,100.7732065587342,100.7732065587342,100.7732065587342,100.7732065587342,100.7732065587342,0.0,0.0,0.0,147.76989483738987
2025-04-10,44.48552443562647,129.69561680167095,159.46271286027286,29.565661992663607,59.01718568237558,100.64951578604129,100.64951578604129,100.64951578604129,100.64951578604129,100.64951578604129,100.64951578604129,0.0,0.0,0.0,145.13504022166777
2025-04-11,41.974360592597215,129.04322711507137,161.22690669022558,26.183232758226904,57.14653561288012,103.6977608410939,103.6977608410939,103.6977608410939,103.6977608410939,103.6977608410939,103.6977608410939,0.0,0.0,0.0,145.6721214336911
2025-04-12,39.46319674956802,-230.6142690849353,-198.14803313997518,22.918932916319083,55.30485771298147,-253.441185833415,-253.441185833415,-253.441185833415,-253.441185833415,-253.441185833415,-253.441185833415,0.0,0.0,0.0,-213.97798908384698
2025-04-13,36.95203290653879,-234.45882628636008,-199.46502611634418,19.463532935257962,53.385050928254614,-253.4411221594761,-253.4411221594761,-253.4411221594761,-253.4411221594761,-253.4411221594761,-253.4411221594761,0.0,0.0,0.0,-216.4890892529373
